ship_postal_code,ship_city,ship_state
600099.0,Chennai,Tamil Nadu
221010.0,Varanasi,Uttar Pradesh
560036.0,Bengaluru,Karnataka
641035.0,Coimbatore,Tamil Nadu
497449.0,Chirmiri,Chhattisgarh
276302.0,Azamgarh,Uttar Pradesh
421306.0,Kalyan,Maharashtra
110016.0,New Delhi,Delhi
781026.0,Guwahati,Assam
570008.0,Mysore,Karnataka
225001.0,Barabanki,Uttar Pradesh
275301.0,Amila,Uttar Pradesh
520010.0,Vijayawada,Andhra Pradesh
493331.0,Rawan Ambuja Cement Plant,Chhattisgarh
248142.0,Herbertpur,Uttarakhand
560048.0,Bengaluru,Karnataka
682021.0,Kalamassery,Kerala
752002.0,Puri-2,Odisha
762010.0,Tikabali,Odisha
803115.0,Biharsharif,Bihar
500075.0,Hyderabad,Telangana
683513.0,Paravur,Kerala
272001.0,Basti,Uttar Pradesh
632513.0,Walajapet,Tamil Nadu
560029.0,Bengaluru,Karnataka
123027.0,Mahendragarh,Haryana
500086.0,Hyderabad,Telangana
110019.0,New Delhi,Delhi
122002.0,Gurugram,Haryana
560022.0,Bengaluru,Karnataka
400069.0,Mumbai,Maharashtra
246722.0,Bijnor,Uttar Pradesh
400078.0,Mumbai,Maharashtra
211001.0,Allahabad,Uttar Pradesh
401202.0,Vasai Virar,Maharashtra
560087.0,Bengaluru,Karnataka
246701.0,Bijnor,Uttar Pradesh
500090.0,Hyderabad,Telangana
560075.0,Bengaluru,Karnataka
575001.0,Mangaluru,Karnataka
500034.0,Hyderabad,Telangana
700059.0,New Town,West Bengal
400016.0,Mumbai,Maharashtra
244302.0,Sambhal,Uttar Pradesh
441002.0,Nagpur,Maharashtra
607202.0,Elavanasurkottai,Tamil Nadu
416410.0,Sangli Miraj Kupwad,Maharashtra
570016.0,Mysuru,Karnataka
393002.0,Ankleshwr,Gujarat
600117.0,Chennai,Tamil Nadu
201009.0,Greater Noida West,Uttar Pradesh
180007.0,Jammu,Jammu & Kashmir
791113.0,Itanagar,Arunachal Pradesh
700075.0,Kolkata,West Bengal
444105.0,Karanja,Maharashtra
312620.0,Nimbahera,Rajasthan
795010.0,Imphal East,Manipur
700064.0,Bidhan Nagar,West Bengal
560064.0,Bengaluru,Karnataka
380015.0,Ahmedabad,Gujarat
620001.0,Tiruchirappalli,Tamil Nadu
752054.0,Bhubaneswar,Odisha
202001.0,Aligarh,Uttar Pradesh
682006.0,Kochi,Kerala
201014.0,Ghaziabad,Uttar Pradesh
412207.0,Pune,Maharashtra
560016.0,Bangalore,Karnataka
676517.0,Malappuram,Kerala
201301.0,Noida,Uttar Pradesh
201308.0,Greater Noida,Uttar Pradesh
800023.0,Patna,Bihar
785674.0,Sibsagar,Assam
823001.0,Gaya,Bihar
560083.0,Bengaluru,Karnataka
122001.0,Gurugram,Haryana
691522.0,Kollam,Kerala
670622.0,Peralasseri,Kerala
560102.0,Bengaluru,Karnataka
560100.0,Bengaluru,Karnataka
576104.0,Udupi,Karnataka
785634.0,Mariani,Assam
110075.0,New Delhi,Delhi
575006.0,Mangaluru,Karnataka
380022.0,Ahmedabad,Gujarat
700051.0,Kolkata,West Bengal
736101.0,Cooch Behar,West Bengal
411037.0,Pune,Maharashtra
248009.0,Dehradun,Uttarakhand
828111.0,Jharia Khas,Jharkhand
700070.0,Kolkata,West Bengal
500010.0,Secunderabad,Telangana
313001.0,Udaipur,Rajasthan
641030.0,Coimbatore,Tamil Nadu
751006.0,Bhubaneswar,Odisha
812003.0,Bhagalpur,Bihar
440036.0,Nagpur,Maharashtra
600096.0,Chennai,Tamil Nadu
742103.0,Berhampore,West Bengal
480661.0,Seoni,Madhya Pradesh
282002.0,Agra,Uttar Pradesh
226029.0,Lucknow,Uttar Pradesh
560067.0,Bengaluru,Karnataka
800001.0,Patna,Bihar
201012.0,Ghaziabad,Uttar Pradesh
172023.0,Nermand,Himachal Pradesh
600010.0,Chennai,Tamil Nadu
503111.0,Kamareddy,Telangana
190015.0,Srinagar,Jammu & Kashmir
560042.0,Bengaluru,Karnataka
586212.0,Muddebihal,Karnataka
523302.0,Santhamaguluru Mandal,Andhra Pradesh
500058.0,Hyderabad,Telangana
110045.0,New Delhi,Delhi
562125.0,Bengaluru,Karnataka
700034.0,Kolkata 700034,West Bengal
700045.0,Kolkata,West Bengal
500001.0,Hyderabad,Telangana
700145.0,Baruipur,West Bengal
754211.0,Kendrapara,Odisha
521225.0,Vijayawada,Andhra Pradesh
400072.0,Mumbai,Maharashtra
422003.0,Nashik,Maharashtra
401107.0,Thane,Maharashtra
146001.0,Hoshiarpur,Punjab
560010.0,Bengaluru,Karnataka
413401.0,Barshi,Maharashtra
500089.0,Hyderabad,Telangana
560068.0,Bengaluru,Karnataka
600036.0,Chennai,Tamil Nadu
134107.0,Chandi Mandir,Haryana
456010.0,Ujjain,Madhya Pradesh
263139.0,Haldwani,Uttarakhand
600125.0,Chennai,Tamil Nadu
400049.0,Mumbai,Maharashtra
249193.0,Uttarkashi,Uttarakhand
403107.0,Old Goa,Goa
451224.0,Maheshwar,Madhya Pradesh
241001.0,Hardoi,Uttar Pradesh
500073.0,Hyderabad,Telangana
793008.0,Shillong,Meghalaya
454552.0,Dhamnod Dhar District,Madhya Pradesh
560070.0,Bengaluru,Karnataka
741222.0,Chakdaha,West Bengal
600082.0,Chennai,Tamil Nadu
700044.0,Kolkata,West Bengal
577101.0,Chikkamagaluru,Karnataka
751003.0,Bhubaneswar,Odisha
122018.0,Gurugram,Haryana
700050.0,Kolkata,West Bengal
211004.0,Allahabad,Uttar Pradesh
226022.0,Lucknow,Uttar Pradesh
700089.0,Kolkata,West Bengal
732101.0,Malda,West Bengal
524314.0,Nellore,Andhra Pradesh
403703.0,Cuncolim,Goa
500068.0,Hyderabad,Telangana
411028.0,Pune,Maharashtra
695003.0,Trivandrum,Kerala
208027.0,Kanpur,Uttar Pradesh
624301.0,Chinnalapatti,Tamil Nadu
560072.0,Bengaluru,Karnataka
263642.0,Bageshwar,Uttarakhand
110059.0,New Delhi,Delhi
700122.0,Barrackpore,West Bengal
421201.0,Dombivali  East,Maharashtra
110017.0,New Delhi,Delhi
801105.0,Patna,Bihar
500070.0,Hyderabad,Telangana
110085.0,New Delhi,Delhi
700135.0,New Town,West Bengal
502319.0,Hyderabad,Telangana
110096.0,New Delhi,Delhi
785667.0,Sibsagar,Assam
180015.0,Jammu,Jammu & Kashmir
411019.0,Pune,Maharashtra
689695.0,Pathanapuram,Kerala
222001.0,Jaunpur,Uttar Pradesh
413001.0,Solapur,Maharashtra
411047.0,Pune,Maharashtra
509001.0,Mahbubnagar,Telangana
248198.0,Nk Sweets Vikasnagar,Uttarakhand
734101.0,Darjeeling,West Bengal
834001.0,Ranchi,Jharkhand
560019.0,Bengaluru,Karnataka
141001.0,Ludhiana,Punjab
500043.0,Hyderabad,Telangana
842002.0,Muzaffarpur,Bihar
500011.0,Secunderabad,Telangana
231216.0,Sonbhadra,Uttar Pradesh
533003.0,Kakinada,Andhra Pradesh
721635.0,Haldia,West Bengal
500056.0,Hyderabad,Telangana
403502.0,Tivim,Goa
600024.0,Chennai,Tamil Nadu
282001.0,Agra,Uttar Pradesh
370465.0,Mandvi Kachchh District,Gujarat
768004.0,Sambalpur,Odisha
629701.0,Kanniyakumari,Tamil Nadu
500094.0,Hyderabad,Telangana
600091.0,Chennai,Tamil Nadu
854301.0,Purnia,Bihar
793022.0,Shillong,Meghalaya
411057.0,Pune,Maharashtra
534101.0,Tadepalligudem,Andhra Pradesh
201001.0,Ghaziabad,Uttar Pradesh
474001.0,Gwalior,Madhya Pradesh
444101.0,Akola,Maharashtra
785001.0,Jorhat,Assam
600100.0,Chennai,Tamil Nadu
562159.0,Ramanagara,Karnataka
586109.0,Vijayapur,Karnataka
827001.0,Bokaro Steel City,Jharkhand
560008.0,Bengaluru,Karnataka
226002.0,Lucknow,Uttar Pradesh
507003.0,Khammam,Telangana
110084.0,New Delhi,Delhi
431002.0,Aurangabad,Maharashtra
487551.0,Gadarwara,Madhya Pradesh
500050.0,Hyderabad,Telangana
605001.0,Puducherry,Puducherry
423109.0,Shirdi,Maharashtra
632004.0,Vellore,Tamil Nadu
575007.0,Mangaluru,Karnataka
486889.0,Singrauli,Madhya Pradesh
110063.0,New Delhi,Delhi
560077.0,Bengaluru,Karnataka
400097.0,Mumbai,Maharashtra
682301.0,Thrippunithura,Kerala
758001.0,Kendujhar,Odisha
400066.0,Mumbai,Maharashtra
600015.0,Chennai,Tamil Nadu
600115.0,Chennai,Tamil Nadu
122022.0,Gurugram,Haryana
141012.0,Ludhiana,Punjab
403114.0,Nerul,Goa
795004.0,Imphal,Manipur
781120.0,Palasbari,Assam
562101.0,Chikkaballapur,Karnataka
711302.0,Andul Near Maya Stores,West Bengal
560078.0,Bengaluru,Karnataka
400067.0,Mumbai,Maharashtra
500067.0,Hyderabad,Telangana
560011.0,Bengaluru,Karnataka
560035.0,Bengaluru,Karnataka
395007.0,Surat,Gujarat
517001.0,Chittoor,Andhra Pradesh
577548.0,Kadur,Karnataka
335804.0,Suratgarh,Rajasthan
400095.0,Mumbai,Maharashtra
143531.0,Dinanagar,Punjab
700028.0,Kolkata,West Bengal
421004.0,Kalyan,Maharashtra
605752.0,Arakandanallur,Tamil Nadu
462038.0,Bhopal,Madhya Pradesh
500036.0,Hyderabad,Telangana
497235.0,Bhatgaon,Chhattisgarh
761126.0,Bhanjanagar,Odisha
531173.0,Visakhapatnam,Andhra Pradesh
530048.0,Madhurawada,Andhra Pradesh
263601.0,Almora,Uttarakhand
516360.0,Proddatur,Andhra Pradesh
413701.0,Shrigonda,Maharashtra
506330.0,Warangal,Telangana
600089.0,Chennai,Tamil Nadu
224001.0,Faizabad,Uttar Pradesh
301019.0,Bhiwadi,Rajasthan
211002.0,Allahabad,Uttar Pradesh
506009.0,Warangal,Telangana
390011.0,Vadodara,Gujarat
110030.0,New Delhi,Delhi
422101.0,Nashik,Maharashtra
732103.0,Malda,West Bengal
421301.0,Kalyan,Maharashtra
530047.0,Visakhapatnam,Andhra Pradesh
690521.0,Kollam,Kerala
560021.0,Bengaluru,Karnataka
400042.0,Mumbai,Maharashtra
522614.0,Guntur,Andhra Pradesh
380058.0,Ahmedabad,Gujarat
575002.0,Mangaluru,Karnataka
560043.0,Bengaluru,Karnataka
411033.0,Pune,Maharashtra
247667.0,Roorkee,Uttarakhand
440006.0,Nagpur,Maharashtra
761002.0,Golabandha,Odisha
743127.0,Bhatpara,West Bengal
176092.0,Palampur,Himachal Pradesh
411001.0,Pune,Maharashtra
208017.0,Kanpur,Uttar Pradesh
400074.0,Mumbai,Maharashtra
600128.0,Chennai,Tamil Nadu
110058.0,New Delhi,Delhi
473995.0,Pichhore Shivpuri District,Madhya Pradesh
226025.0,Lucknow,Uttar Pradesh
203205.0,Sikandarabad Industrial Area,Uttar Pradesh
400098.0,Mumbai,Maharashtra
695005.0,Thiruvananthapuram,Kerala
690107.0,Mavelikkara,Kerala
700022.0,Kolkata,West Bengal
400615.0,Thane,Maharashtra
570001.0,Mysuru,Karnataka
143516.0,Qadian,Punjab
751021.0,Bhubaneswar,Odisha
585101.0,Kalaburgi,Karnataka
440003.0,Nagpur,Maharashtra
509327.0,Rangareddy,Telangana
500013.0,Hyderabad,Telangana
380054.0,Ahmedabad,Gujarat
600063.0,Chennai,Tamil Nadu
799250.0,Dharmanagar,Tripura
302012.0,Jaipur,Rajasthan
124103.0,Jhajjar,Haryana
500005.0,Hyderabad,Telangana
560105.0,Bengaluru,Karnataka
831005.0,Jamshedpur,Jharkhand
390016.0,Vadodara,Gujarat
250001.0,Meerut,Uttar Pradesh
273004.0,Gorakhpur,Uttar Pradesh
574227.0,Mudbidri,Karnataka
403802.0,Vasco Da Gama,Goa
387001.0,Nadiad,Gujarat
440015.0,Nagpur,Maharashtra
500006.0,Hyderabad,Telangana
530027.0,Visakhapatnam,Andhra Pradesh
208013.0,Kanpurkanpur,Uttar Pradesh
500098.0,Hyderabad,Telangana
210504.0,Hamirpur,Uttar Pradesh
600086.0,Chennai,Tamil Nadu
143001.0,Amritsar,Punjab
110039.0,New Delhi,Delhi
641037.0,Coimbatore,Tamil Nadu
306401.0,Pali,Rajasthan
401201.0,Bassein,Maharashtra
689101.0,Thiruvalla,Kerala
795113.0,Imphal,Manipur
627401.0,Ambasamudram,Tamil Nadu
689698.0,Pathanamthitta,Kerala
600002.0,Chennai,Tamil Nadu
535002.0,Vizianagaram,Andhra Pradesh
517113.0,Chittoor District,Andhra Pradesh
229001.0,Rae Bareli,Uttar Pradesh
847201.0,Benipur,Bihar
262308.0,Khatima,Uttarakhand
638005.0,Erode,Tamil Nadu
827012.0,Bokaro Steel City,Jharkhand
421001.0,Ulhasnagar,Maharashtra
452010.0,Indore,Madhya Pradesh
141106.0,Halwara,Punjab
401101.0,Thane,Maharashtra
560056.0,Bengaluru,Karnataka
610005.0,"Neelakudi, Thiruvarur",Tamil Nadu
302021.0,Jaipur,Rajasthan
753009.0,Cuttack,Odisha
700032.0,Kolkata,West Bengal
520015.0,Vijayawada,Andhra Pradesh
401209.0,Vasai Virar,Maharashtra
171009.0,Shimla,Himachal Pradesh
641062.0,Coimbatore,Tamil Nadu
846003.0,Darbhanga,Bihar
713101.0,Burdwan,West Bengal
500055.0,Hyderabad,Telangana
700017.0,Kolkata,West Bengal
441110.0,Mihan,Maharashtra
203131.0,Khurja,Uttar Pradesh
110029.0,New Delhi,Delhi
194104.0,Choglamsar,Ladakh
560033.0,Bengaluru,Karnataka
445001.0,Yavatmal,Maharashtra
212404.0,Allahabad,Uttar Pradesh
768106.0,Redhakhol,Odisha
121002.0,Faridabad,Haryana
600071.0,Chennai,Tamil Nadu
793018.0,Shillong,Meghalaya
500084.0,Hyderabad,Telangana
243503.0,Faridpur Bareilly District,Uttar Pradesh
769015.0,Rourkela,Odisha
535004.0,Vizianagaram,Andhra Pradesh
302019.0,Jaipur,Rajasthan
580003.0,Dharwad,Karnataka
177204.0,Daulatpur,Himachal Pradesh
431203.0,Jalna,Maharashtra
505001.0,Karimnagar,Telangana
110033.0,New Delhi,Delhi
442201.0,"Arvi,Dist- Wardha",Maharashtra
734203.0,Kurseong,West Bengal
500015.0,Hyderabad,Telangana
443404.0,Nandura,Maharashtra
362570.0,Diu,Dadra And Nagar
201010.0,Ghaziabad,Uttar Pradesh
600012.0,Chennai,Tamil Nadu
601204.0,Ponneri,Tamil Nadu
500049.0,Hyderabad,Telangana
712249.0,Serampore,West Bengal
574141.0,Kinnigoli,Karnataka
231001.0,Mirzapur Cum Vindhyachal,Uttar Pradesh
786001.0,Dibrugarh,Assam
401105.0,Thane,Maharashtra
560066.0,Bengaluru,Karnataka
743438.0,Deganga,West Bengal
700033.0,Kolkata,West Bengal
788710.0,Karimganj,Assam
382340.0,Ahmedabad,Gujarat
678572.0,Alathur,Kerala
683102.0,Aluva,Kerala
600083.0,Chennai,Tamil Nadu
276141.0,Azamgarh,Uttar Pradesh
503001.0,Nizamabad,Telangana
412201.0,Loni Kalbhor,Maharashtra
829205.0,Khelari,Jharkhand
560097.0,Bengaluru,Karnataka
233001.0,Ghazipur,Uttar Pradesh
411048.0,Pune,Maharashtra
753001.0,Cuttack,Odisha
585104.0,Kalaburgi,Karnataka
855102.0,Katihar,Bihar
560086.0,Bengaluru,Karnataka
629002.0,Nagercoil,Tamil Nadu
400077.0,Mumbai,Maharashtra
507101.0,Kothagudem,Telangana
313603.0,Bhinder,Rajasthan
382481.0,Ahmedabad,Gujarat
600078.0,Chennai,Tamil Nadu
144005.0,Jalandhar,Punjab
534275.0,Narasapur,Andhra Pradesh
678502.0,Palakkad,Kerala
535501.0,Parvathipuram,Andhra Pradesh
411024.0,Pune,Maharashtra
400030.0,Mumbai,Maharashtra
485001.0,Satna,Madhya Pradesh
603103.0,Padur,Tamil Nadu
625007.0,Madurai,Tamil Nadu
400029.0,Mumbai,Maharashtra
277001.0,Ballia,Uttar Pradesh
411041.0,Pune,Maharashtra
121003.0,Faridabad,Haryana
421204.0,Kalyan,Maharashtra
508248.0,Devarakonda,Telangana
122017.0,Gurugram,Haryana
680003.0,Thrissur,Kerala
560061.0,Bangalore,Karnataka
560057.0,Bengaluru,Karnataka
560032.0,Bengaluru,Karnataka
636701.0,Dharmapuri,Tamil Nadu
250002.0,Meerut,Uttar Pradesh
500009.0,Secunderabad,Telangana
201305.0,Noida,Uttar Pradesh
833212.0,Danguwapasi,Jharkhand
786189.0,Dhemaji,Assam
442302.0,Pulgaon,Maharashtra
680542.0,Akathiyoor,Kerala
700004.0,Kolkata,West Bengal
795008.0,Imphal East,Manipur
522212.0,Chebrolu,Andhra Pradesh
688006.0,Alappuzha,Kerala
224122.0,Akbarpur,Uttar Pradesh
441111.0,Nagpur,Maharashtra
712246.0,Nabagram Colony,West Bengal
700074.0,Kolkata,West Bengal
400604.0,Thane,Maharashtra
673574.0,Kozhikode,Kerala
605009.0,Puducherry,Puducherry
110086.0,New Delhi,Delhi
562123.0,Nelamangala,Karnataka
764058.0,"Kotpad, Koraput",Odisha
751015.0,Bhubaneswar,Odisha
422401.0,Nashik,Maharashtra
854107.0,Katihar,Bihar
700090.0,Kolkata,West Bengal
688002.0,Alappuzha,Kerala
110008.0,New Delhi,Delhi
243001.0,Bareilly,Uttar Pradesh
110007.0,New Delhi,Delhi
700039.0,Kolkata,West Bengal
600043.0,Chennai,Tamil Nadu
600093.0,Chennai,Tamil Nadu
441911.0,Tirora,Maharashtra
140603.0,Zirakpur,Punjab
390025.0,Vadodara,Gujarat
305001.0,Ajmer,Rajasthan
571201.0,Madikeri,Karnataka
680596.0,Thrissur,Kerala
411006.0,Pune,Maharashtra
560091.0,Bengaluru,Karnataka
600040.0,Chennai,Tamil Nadu
181124.0,Jammu,Jammu & Kashmir
314031.0,Dungarpur,Rajasthan
134117.0,Panchkula,Haryana
382225.0,Dholka,Gujarat
822102.0,Daltonganj,Jharkhand
560094.0,Bengaluru,Karnataka
151001.0,Bathinda,Punjab
226026.0,Lucknow,Uttar Pradesh
501505.0,Hyderabad,Telangana
440030.0,Nagpur,Maharashtra
834003.0,Ranchi,Jharkhand
800024.0,Patna,Bihar
587120.0,"Kamatgi,Hunugund Taluk,Bagalkot District",Karnataka
781017.0,Guwahati,Assam
781015.0,Guwahati,Assam
834009.0,Ranchi,Jharkhand
600088.0,Chennai,Tamil Nadu
751001.0,Bhubaneswar,Odisha
110068.0,New Delhi,Delhi
440013.0,Nagpur,Maharashtra
445103.0,Arni,Maharashtra
363641.0,Morbi,Gujarat
600106.0,Chennai,Tamil Nadu
574211.0,Bantwal,Karnataka
781035.0,Guwahati,Assam
761209.0,Ganjam,Odisha
455001.0,Dewas,Madhya Pradesh
411040.0,Pune,Maharashtra
800003.0,Patna,Bihar
342037.0,Nagaur,Rajasthan
209864.0,Kanpur,Uttar Pradesh
695122.0,Neyyattinkara,Kerala
641049.0,Coimbatore,Tamil Nadu
400012.0,Mumbai,Maharashtra
734013.0,Siliguri,West Bengal
571234.0,Kushalanagara,Karnataka
700008.0,Kolkata,West Bengal
603112.0,Chennai,Tamil Nadu
722151.0,Simlapal,West Bengal
845455.0,Narkatiaganj,Bihar
797001.0,Kohima,Nagaland
144008.0,Jalandhar,Punjab
394210.0,Surat,Gujarat
400601.0,Thane (W),Maharashtra
570023.0,Mysuru,Karnataka
110052.0,New Delhi,Delhi
403501.0,Porvorim,Goa
201304.0,Noida,Uttar Pradesh
500016.0,Hyderabad,Telangana
781011.0,Guwahati,Assam
416416.0,Sangli,Maharashtra
390010.0,Vadodara,Gujarat
641006.0,Coimbatore,Tamil Nadu
686020.0,Kottayam,Kerala
670661.0,Dharmadom,Kerala
400037.0,Mumbai,Maharashtra
401208.0,Vasai Virar,Maharashtra
141008.0,Ludhiana,Punjab
313301.0,Nathdwara,Rajasthan
221002.0,Varanasi,Uttar Pradesh
575018.0,Ullal,Karnataka
431606.0,Nanded Waghala,Maharashtra
560024.0,Bengaluru,Karnataka
502345.0,Sangareddy District,Telangana
440007.0,Nagpur,Maharashtra
500079.0,Hyderabad,Telangana
625010.0,Madurai,Tamil Nadu
641045.0,Coimbatore,Tamil Nadu
400606.0,Thane,Maharashtra
590006.0,Belagavi,Karnataka
500081.0,Hyderabad,Telangana
800008.0,Patna,Bihar
629177.0,Kanniyakumari,Tamil Nadu
500033.0,Hyderabad,Telangana
500012.0,Hyderabad,Telangana
400063.0,Mumbai,Maharashtra
226012.0,Lucknow,Uttar Pradesh
700019.0,Kolkata,West Bengal
700151.0,Kolkata,West Bengal
502307.0,Isnapur,Telangana
605110.0,Puducherry,Puducherry
756125.0,Basudebpur,Odisha
515134.0,Puttaparthi,Andhra Pradesh
560002.0,Bengaluru,Karnataka
261201.0,Biswan,Uttar Pradesh
781007.0,Guwahati,Assam
605602.0,Villupuram,Tamil Nadu
782426.0,Kampur Town,Assam
700129.0,Barasat,West Bengal
400088.0,Mumbai,Maharashtra
534451.0,Lakkavaram,Andhra Pradesh
110003.0,New Delhi,Delhi
825302.0,Hazaribagh,Jharkhand
211016.0,Allahabad,Uttar Pradesh
570010.0,Mysore,Karnataka
411023.0,Pune,Maharashtra
281004.0,Mathura,Uttar Pradesh
490020.0,Bhilai,Chhattisgarh
126102.0,Jind,Haryana
600077.0,Chennai,Tamil Nadu
400015.0,Mumbai,Maharashtra
560050.0,Bengaluru,Karnataka
382110.0,Sanand,Gujarat
500100.0,Hyderabad,Telangana
500083.0,Hyderabad,Telangana
560084.0,Bengaluru,Karnataka
562114.0,Hoskote,Karnataka
395009.0,Surat,Gujarat
390021.0,Vadodara,Gujarat
412101.0,Pimpri Chinchwad,Maharashtra
390006.0,Vadodara,Gujarat
845401.0,Motihari,Bihar
250004.0,Meerut,Uttar Pradesh
201309.0,Noida,Uttar Pradesh
577004.0,Davangere,Karnataka
500020.0,Hyderabad,Telangana
682030.0,Kochi,Kerala
360370.0,Jetpur,Gujarat
733130.0,Raiganj,West Bengal
410206.0,Navi Mumbai,Maharashtra
641027.0,Coimbatore,Tamil Nadu
132001.0,Karnal,Haryana
440024.0,Nagpur,Maharashtra
302018.0,Jaipur,Rajasthan
517002.0,Chittoor,Andhra Pradesh
800013.0,Patna,Bihar
700010.0,Kolkata,West Bengal
410405.0,Lonavala,Maharashtra
274001.0,Deoria,Uttar Pradesh
400017.0,Mumbai,Maharashtra
695004.0,Thiruvananthapuram,Kerala
421202.0,Dombivli West,Maharashtra
516309.0,Yerraguntla,Andhra Pradesh
121010.0,Faridabad,Haryana
110054.0,New Delhi,Delhi
400068.0,Mumbai,Maharashtra
175008.0,Mandi,Himachal Pradesh
342001.0,Jodhpur,Rajasthan
602105.0,Sriperumbudur,Tamil Nadu
422009.0,Nashik,Maharashtra
560028.0,Bengaluru,Karnataka
400089.0,Mumbai,Maharashtra
580023.0,Hubballi,Karnataka
560059.0,Bengaluru,Karnataka
695009.0,Thiruvananthapuram,Kerala
201005.0,Ghaziabad,Uttar Pradesh
486661.0,Sidhi,Madhya Pradesh
411036.0,Pune,Maharashtra
400102.0,Mumbai,Maharashtra
600003.0,Chennai,Tamil Nadu
799003.0,Agartala,Tripura
700049.0,"Durganagar ,Nimta South",West Bengal
491001.0,Durg,Chhattisgarh
273001.0,Gorakhpur,Uttar Pradesh
741152.0,Karimpur,West Bengal
133103.0,Mustafabad,Haryana
799006.0,Agartala,Tripura
670612.0,Koothparamba,Kerala
682017.0,Ernakulam,Kerala
673601.0,Kattangal,Kerala
332001.0,Sikar,Rajasthan
110023.0,New Delhi,Delhi
560046.0,Bengaluru,Karnataka
474011.0,Gwalior,Madhya Pradesh
323022.0,Dabi,Rajasthan
